recommendation_set_id,set_clicked
326851,0
327020,0
328318,0
328895,0
328948,0
329070,0
329664,0
330283,0
331825,0
331907,0
331916,0
332034,0
332492,0
333052,0
333819,0
334057,0
334877,0
335245,0
335337,0
335606,0
335664,0
336320,0
336743,0
336756,0
336808,0
337111,0
337557,0
337681,0
337682,0
338076,0
339195,0
339225,0
339386,0
340474,0
340491,0
340839,0
340852,0
341072,0
341271,0
341819,0
343776,0
344665,0
344752,0
345246,0
345348,0
345908,0
346492,0
346765,0
347174,0
347346,0
347398,0
348108,0
349417,0
349580,0
350122,0
350581,0
351063,0
351556,0
351557,0
353124,0
353132,0
353376,0
353396,0
353760,0
353949,0
354239,0
354777,0
355369,0
355417,0
356120,0
356271,0
356778,0
357035,0
357333,0
357437,0
357554,0
357581,0
357594,0
357715,0
357917,0
358135,0
358419,0
358970,0
359127,0
359253,0
359322,0
359323,0
360614,0
360638,0
360787,0
362463,0
362737,0
362939,0
363656,0
364121,0
364228,0
364398,0
364413,0
364457,0
364716,0
364858,0
364935,0
365190,0
365413,0
365781,0
366118,0
366460,0
366535,0
366805,0
367051,0
367245,0
367247,0
367257,0
367357,0
367381,0
367432,0
367437,0
367438,0
367439,0
367605,0
367756,0
367901,0
368149,0
368180,0
368195,0
368233,0
368261,0
369023,0
369459,0
369495,0
369567,0
369635,0
369764,0
369787,0
369965,0
369980,0
370091,0
370186,0
370407,0
370538,0
370900,0
370923,0
371088,0
371090,0
371163,0
371168,0
371322,0
371383,0
371540,0
371544,0
371621,0
371637,0
371643,0
371780,0
371961,0
372017,0
372261,0
372282,0
372623,0
372803,0
372915,0
373017,0
373481,0
373625,0
373938,0
374153,0
374156,0
374449,0
374551,0
374613,0
374816,0
375119,0
375247,0
375623,0
375874,0
376069,0
376125,0
376415,0
376693,0
376743,0
376939,0
376987,0
377146,0
377242,0
377473,0
377566,0
377684,0
378024,0
378041,0
378047,0
378087,0
378206,0
378246,0
378380,0
378384,0
378387,0
378484,0
378549,0
378603,0
379101,0
379171,0
379273,0
379285,0
379374,0
379571,0
379613,0
379623,0
379663,0
379868,0
379929,0
379931,0
379939,0
379969,0
379984,0
380094,0
380155,0
380428,0
380445,0
380613,0
380754,0
380807,0
380930,0
381006,0
381328,0
381455,0
381680,0
382088,0
382593,0
382714,0
382834,0
382927,0
383142,0
383175,0
383198,0
383280,0
383301,0
383445,0
383490,0
383516,0
383547,0
383950,0
383987,0
384271,0
384306,0
384341,0
384394,0
384440,0
384463,0
384765,0
384910,0
384956,0
385148,0
385287,0
385428,0
385467,0
385576,0
385662,0
385771,0
385845,0
385971,0
385989,0
386143,0
386146,0
386508,0
386765,0
386944,0
386945,0
387114,0
387342,0
387734,0
387885,0
387910,0
387997,0
388169,0
388330,0
388362,0
388500,0
388685,0
388957,0
388992,0
389032,0
389070,0
389104,0
389166,0
389373,0
389428,0
389440,0
389626,0
389683,0
389747,0
389775,0
389780,0
389955,0
389994,0
390466,0
390582,0
390630,0
391343,0
391442,0
391496,0
391503,0
391516,0
391521,0
391558,0
391584,0
391905,0
392069,0
392168,0
392360,0
392427,0
392429,0
392432,0
392453,0
392539,0
392542,0
392695,0
392957,0
392981,0
393165,0
393173,0
393325,0
393587,0
393691,0
393737,0
393781,0
394093,0
394134,0
394195,0
394303,0
394321,0
394689,0
394701,0
394770,0
395025,0
395051,0
395211,0
395258,0
395265,0
395364,0
395538,0
396016,0
396101,0
396147,0
396228,0
396266,0
396340,0
396664,0
396722,0
396732,0
397097,0
397290,0
397389,0
397482,0
397547,0
397612,0
397775,0
398120,0
398345,0
398556,0
398591,0
398763,0
399005,0
399135,0
399365,0
399955,0
400037,0
400073,0
400246,0
400321,0
400324,0
400424,0
400823,0
400840,0
400908,0
401048,0
401111,0
401232,0
401239,0
401307,0
401352,0
401356,0
401362,0
401422,0
401545,0
401703,0
401854,0
401919,0
401954,0
401967,0
402237,0
402241,0
402436,0
402445,0
402468,0
402494,0
402522,0
402550,0
402553,0
402574,0
402667,0
403016,0
403031,0
403071,0
403073,0
403285,0
403519,0
403653,0
403729,0
403753,0
404017,0
404106,0
404120,0
404188,0
404243,0
404345,0
405225,0
405331,0
405338,0
405372,0
405427,0
405438,0
405489,0
405491,0
405511,0
405519,0
405676,0
405812,0
406218,0
406223,0
406284,0
406317,0
406327,0
406344,0
406357,0
406490,0
406700,0
406764,0
406816,0
406873,0
406946,0
407024,0
407168,0
407299,0
407629,0
407790,0
408066,0
408328,0
408467,0
408492,0
408645,0
408951,0
408974,0
409005,0
409081,0
409138,0
409222,0
409941,0
410097,0
410788,0
411119,0
411308,0
411368,0
411386,0
411522,0
411720,0
411765,0
411941,0
411942,0
412337,0
412354,0
412548,0
412925,0
413035,0
413282,0
413304,0
413588,0
413594,0
413604,0
413630,0
413638,0
413742,0
413853,0
413925,0
413926,0
413960,0
413975,0
413982,0
414018,0
414596,0
414740,0
415073,0
415174,0
415406,0
415550,0
415991,0
416341,0
416361,0
416476,0
416512,0
416729,0
417080,0
417087,0
417089,0
417107,0
417108,0
417126,0
417211,0
417273,0
417323,0
417441,0
417449,0
417566,0
417610,0
417711,0
417815,0
417874,0
417975,0
418032,0
418035,0
418045,0
418071,0
418077,0
418153,0
418361,0
418387,0
418582,0
418843,0
418934,0
419415,0
419459,0
419591,0
419755,0
419832,0
419850,0
419982,0
420057,0
420180,0
420301,0
420485,0
420531,0
420584,0
420590,0
420603,0
420654,0
420667,0
420710,0
420771,0
420772,0
420774,0
420805,0
420880,0
421163,0
421198,0
421269,0
421412,0
421716,0
421808,0
421809,0
421981,0
421987,0
421993,0
422003,0
422027,0
422039,0
422046,0
422077,0
422103,0
422123,0
422159,0
422316,0
422419,0
422549,0
422739,0
422744,0
422789,0
422834,0
422903,0
423115,0
423193,0
423209,0
423252,0
423295,0
423334,0
423336,0
423371,0
423400,0
423437,0
423528,0
423539,0
423552,0
423787,0
423941,0
424082,0
424370,0
424531,0
424551,0
424795,0
424949,0
424989,0
424997,0
425121,0
425275,0
425286,0
425389,0
425549,0
425559,0
425622,0
425676,0
425695,0
425846,0
425917,0
426024,0
426035,0
426251,0
426306,0
426431,0
426892,0
426942,0
426954,0
427046,0
427067,0
427346,0
427460,0
427643,0
427666,0
427848,0
427849,0
427880,0
428206,0
428284,0
428393,0
428405,0
428454,0
428708,0
428787,0
428788,0
428791,0
429135,0
429229,0
429237,0
429369,0
429401,0
429592,0
429639,0
429640,0
429690,0
429997,0
430149,0
430246,0
430380,0
430412,0
430443,0
430744,0
430766,0
430822,0
430839,0
430993,0
431147,0
431162,0
431228,0
431323,0
431411,0
431527,0
431529,0
431553,0
431651,0
431712,0
431858,0
431980,0
432044,0
432137,0
432154,0
432163,0
432261,0
432271,0
432349,0
432498,0
432721,0
432760,0
432773,0
432855,0
432894,0
432912,0
433082,0
433093,0
433112,0
433172,0
433194,0
433318,0
433374,0
433501,0
433543,0
433773,0
433863,0
433981,0
434005,0
434091,0
434195,0
434203,0
434281,0
434317,0
434427,0
434728,0
434760,0
434761,0
434896,0
434924,0
435287,0
435420,0
435656,0
435688,0
435752,0
435987,0
436404,0
436411,0
436418,0
436425,0
436430,0
436495,0
436605,0
436637,0
436663,0
436826,0
436846,0
436906,0
437025,0
437029,0
437272,0
437298,0
437391,0
437451,0
437519,0
437661,0
438010,0
438216,0
438368,0
438500,0
438567,0
438733,0
438831,0
438834,0
438851,0
438852,0
438978,0
439010,0
439283,0
439431,0
439793,0
439925,0
440019,0
440102,0
440331,0
440394,0
440435,0
440543,0
440625,0
440638,0
440958,0
441040,0
441144,0
441204,0
441285,0
441339,0
441481,0
441620,0
441830,0
441977,0
442123,0
442294,0
442370,0
442418,0
442448,0
442592,0
442615,0
442638,0
442767,0
442772,0
442794,0
442795,0
442889,0
442903,0
442923,0
443001,0
443170,0
443308,0
443380,0
443399,0
443495,0
443661,0
443662,0
444306,0
444324,0
444332,0
444395,0
444439,0
444519,0
444546,0
444567,0
444585,0
444613,0
444809,0
444841,0
444886,0
444901,0
444938,0
444956,0
445001,0
445048,0
445076,0
445088,0
445173,0
445182,0
445243,0
445302,0
445337,0
445413,0
445418,0
445457,0
445520,0
445542,0
445572,0
445593,0
445698,0
445839,0
446514,0
446670,0
446705,0
447638,0
447806,0
447831,0
447852,0
447869,0
447961,0
448124,0
448201,0
448708,0
448768,0
448841,0
448901,0
448911,0
449008,0
449036,0
449260,0
449318,0
449485,0
449540,0
449613,0
449672,0
449714,0
450229,0
450236,0
450243,0
450283,0
450292,0
450299,0
450378,0
450468,0
450525,0
450634,0
450907,0
451083,0
451123,0
451349,0
451555,0
451645,0
451669,0
451825,0
451841,0
451882,0
451931,0
452058,0
452213,0
452312,0
452561,0
452567,0
452697,0
452731,0
452735,0
452851,0
453101,0
453250,0
453259,0
453262,0
453363,0
453404,0
453405,0
453446,0
453447,0
453471,0
453764,0
453819,0
453841,0
454016,0
454373,0
454391,0
454495,0
454603,0
454884,0
454889,0
454935,0
455325,0
455332,0
455385,0
455419,0
455422,0
455688,0
455696,0
455747,0
456088,0
456366,0
456399,0
456427,0
456740,0
456748,0
456751,0
456919,0
456929,0
456975,0
457115,0
457299,0
457327,0
457472,0
457533,0
457535,0
457540,0
457698,0
458082,0
458300,0
458591,0
458677,0
458913,0
458914,0
458970,0
459087,0
459168,0
459169,0
459195,0
459248,0
459291,0
459429,0
